x,M,mean_delay,p95_delay,throughput,ci_mean_low,ci_mean_high,ci_p95_low,ci_p95_high
0.3,250,30.504835367027795,56.05842612907253,4.949199999999999,23.654160499160824,37.355510234894766,46.694612555010906,65.42223970313415
0.3,300,468.79214438412146,796.7940871948441,4.87571111111111,454.6517874916672,482.9325012765757,775.523572949792,818.0646014398963
0.3,350,818.8038819052833,1373.9469983305326,4.778488888888889,792.4491423962414,845.1586214143252,1343.1976439664259,1404.6963526946392
0.3,400,1088.8753156705068,1799.6078636368638,4.671222222222221,1078.2921493418298,1099.4584819991837,1788.0147165806163,1811.2010106931114
0.3,450,1304.2901977845934,2130.40584731356,4.561111111111111,1295.5534999690624,1313.0268956001244,2117.775552009832,2143.036142617288
0.3,500,1502.4433103393428,2403.253635510191,4.438933333333333,1485.3701206666206,1519.516500012065,2387.948569986293,2418.558701034089
0.4,50,1.886711425756766,2.8337266634913716,1.001911111111111,1.8775387371254095,1.8958841143881227,2.821014615213624,2.8464387117691192
0.4,100,2.005367231255703,3.068979552048141,2.0038666666666662,1.9963338923124172,2.014400570198989,3.0498002160524607,3.0881588880438215
0.4,150,2.2150134415145586,3.5159115405307597,2.9914222222222224,2.2027688402421424,2.227258042786975,3.4864858189385854,3.545337262122934
0.4,200,2.7851967292079762,4.952879299947599,4.005022222222221,2.762472443454502,2.8079210149614506,4.867825765592118,5.037932834303079
0.4,250,35.37966312053514,56.51428133305819,4.947355555555555,20.202790080363446,50.55653616070684,38.45984730079138,74.568715365325
0.4,300,474.53827650756796,810.3546260710234,4.886177777777777,459.72848676108725,489.34806625404866,788.0289868068484,832.6802653351984
0.4,350,823.8765108097023,1375.7487069339356,4.779533333333334,808.9594799413198,838.7935416780847,1351.0393922476514,1400.4580216202198
0.4,400,1084.8542856329202,1782.7617948010934,4.685933333333333,1067.1946488406031,1102.5139224252373,1757.086156777063,1808.4374328251238
0.4,450,1311.3208416128884,2126.9559999610246,4.5574,1299.365259449876,1323.2764237759009,2114.819342837624,2139.0926570844254
0.4,500,1509.006854223855,2408.6445333354272,4.4392000000000005,1495.8555085278733,1522.1581999198368,2397.239505615227,2420.0495610556277
0.5,50,1.7692219491318841,2.792246462765557,1.0065777777777778,1.7580081466166195,1.7804357516471487,2.7750087959061696,2.8094841296249444
0.5,100,1.9037912090227178,3.019908218961258,1.978911111111111,1.8928775459225409,1.9147048721228948,3.0004740107424173,3.039342427180099
0.5,150,2.168850750738253,3.5731273513856507,3.0041777777777776,2.1525475564922676,2.185153944984238,3.5250117606132116,3.62124294215809
0.5,200,2.873265264387976,5.39633779553427,3.994155555555556,2.807145419752217,2.9393851090237346,5.146816588081893,5.645859002986648
0.5,250,27.753477790336756,49.21700917291332,4.963955555555556,20.614241827429304,34.89271375324421,38.87475185408198,59.559266491744665
0.5,300,478.03125891944694,818.4679505173926,4.872444444444445,456.0146284911164,500.04788934777747,782.8982266422373,854.037674392548
0.5,350,811.6474506703388,1359.2758619045233,4.7838,791.9274351344073,831.3674662062703,1337.1029134884673,1381.4488103205792
0.5,400,1086.1408133965913,1796.1690609472068,4.6658888888888885,1079.1614130617634,1093.1202137314192,1788.7106237751523,1803.6274981192614
0.5,450,1305.0636081920534,2116.359965047227,4.568355555555556,1291.8757081378942,1318.2515082462126,2104.5863091221636,2128.1336209722904
0.5,500,1512.0855531518641,2411.9511607039067,4.422066666666668,1498.237747776847,1525.9333585268812,2397.557138531697,2426.3451828761163
0.6,50,1.6506713094868615,2.742607923808067,0.9986,1.640412535437693,1.6609300835360299,2.7239958527662878,2.761219994849846
0.6,100,1.814386085414577,2.9842825372607855,1.9843333333333333,1.8027286172673314,1.8260435535618227,2.9533080682070465,3.0152570063145245
0.6,150,2.161347547963185,3.7068101556964117,3.0066888888888887,2.134570395042482,2.1881247008838884,3.635143740130065,3.7784765712627584
0.6,200,3.133173248707051,6.158675447630251,3.9904444444444445,3.0589682063828656,3.2073782910312367,5.906079435883561,6.41127145937694
0.6,250,39.790759840231885,75.85957236142882,4.943288888888889,31.17088249757001,48.410637182893765,59.414919250917634,92.30422547194
0.6,300,478.2941714687813,825.8416851210471,4.857044444444445,457.60563741855,498.98270551901265,793.504647010048,858.1787232320463
0.6,350,833.9240307294729,1388.12746974245,4.74331111111111,819.7982402488468,848.0498212100989,1371.2558195971742,1404.999119887726
0.6,400,1110.370306483646,1817.0188725331936,4.625933333333333,1096.557755738755,1124.1828572285367,1797.039108457775,1836.9986366086123
0.6,450,1327.522175209169,2146.8613216241474,4.523377777777777,1315.9246060629384,1339.1197443553997,2132.732770583645,2160.9898726646497
0.6,500,1503.6937843992027,2401.435792079176,4.4277999999999995,1492.1897793337664,1515.197789464639,2390.1034112267216,2412.76817293163
0.7,50,1.5450832666919023,2.687158258164936,0.9990222222222223,1.5343008048817217,1.555865728502083,2.666472818062799,2.7078436982670726
0.7,100,1.759580566197813,3.017669508703997,1.9824888888888885,1.7473153528718246,1.7718457795238014,2.977981138353387,3.0573578790546065
0.7,150,2.263434553885093,4.172127515352738,3.000866666666666,2.234654099422757,2.292215008347429,4.0579974315072525,4.2862575991982235
0.7,200,6.336543428634922,18.94828354806554,4.001622222222222,5.432251644658781,7.240835212611063,12.758265722807971,25.13830137332311
0.7,250,270.5963000167614,665.9043960580051,4.426266666666666,258.1160499956994,283.0765500378234,633.4372149720848,698.3715771439254
0.7,300,694.2540004327554,1335.6924563236603,4.3276,682.1194133370209,706.38858752849,1314.1665683858628,1357.2183442614578
0.7,350,1008.5028576522722,1788.0093086181394,4.237177777777778,989.9993285473536,1027.0063867571907,1758.2986390252297,1817.719978211049
0.7,400,1290.638750911182,2195.0777139445267,4.0800222222222216,1274.5510604090784,1306.7264414132853,2168.3262915002406,2221.829136388813
0.7,450,1499.6819550948655,2465.875216155786,4.005511111111111,1489.627323081888,1509.736587107843,2448.788603841189,2482.961828470383
0.7,500,1665.2015255497022,2686.8339384398696,3.8879555555555556,1648.7709446172166,1681.6321064821877,2667.921822375714,2705.7460545040253
0.8,50,1.434359359627601,2.607436473781679,0.995488888888889,1.4215868990283695,1.4471318202268324,2.5895935688293,2.6252793787340583
0.8,100,1.7336638162883147,3.1364094003063667,1.9998222222222224,1.7182240914469824,1.749103541129647,3.084872273996733,3.1879465266160003
0.8,150,2.6805146848780566,5.768011059679251,3.004022222222222,2.5645063115839966,2.7965230581721165,5.376596835303811,6.1594252840546915
0.8,200,143.85376371559758,313.518447125632,3.7774888888888887,131.30235191556864,156.40517551562652,286.0955044456258,340.9413898056382
0.8,250,546.7771907789237,1196.77087072771,3.8713333333333333,537.3025685388741,556.2518130189733,1167.0315818413178,1226.5101596141021
0.8,300,930.6645379150414,1770.4098383487137,3.7714666666666665,913.6033500612899,947.7257257687928,1741.0276529183866,1799.7920237790408
0.8,350,1225.0265278240681,2193.1412049044875,3.6658222222222223,1211.5977585491532,1238.455297098983,2168.7405498103335,2217.5418599986415
0.8,400,1478.3693540169347,2519.148236501382,3.5501111111111108,1462.9646945919394,1493.77401344193,2500.8817410163033,2537.414731986461
0.8,450,1672.4892309920765,2761.0746024680284,3.461244444444445,1660.741353668832,1684.237108315321,2749.1422931065795,2773.0069118294773
0.8,500,1852.6094245806903,2966.894319126491,3.3264222222222224,1837.041047149469,1868.1778020119116,2950.0625798234073,2983.726058429575
0.9,50,1.348812565410105,2.538440357938491,1.0045555555555554,1.3388000666651871,1.358825064155023,2.522875079214967,2.5540056366620147
0.9,100,1.7296473870606985,3.351090688641596,1.9930444444444444,1.7118980240951387,1.7473967500262584,3.2761911456708663,3.4259902316123254
0.9,150,4.389506817900298,11.378866860571478,3.001266666666667,3.9046821370780647,4.874331498722531,9.545211762655558,13.212521958487397
0.9,200,411.5413627293732,787.9919841608275,3.3296888888888887,394.2205875082527,428.86213795049366,762.4838254249782,813.5001428966768
0.9,250,824.032116054693,1582.169480167789,3.3144666666666667,808.7715434856254,839.2926886237606,1561.3388455447202,1603.0001147908579
0.9,300,1187.0340392442054,2119.054351267957,3.2162888888888888,1168.5659911976395,1205.5020872907712,2092.857837867965,2145.250864667949
0.9,350,1471.4147141408002,2493.8819764272007,3.1165555555555553,1461.7611857586157,1481.0682425229847,2480.001330855165,2507.762621999236
0.9,400,1699.1457623128613,2793.518105133831,3.0005333333333333,1686.1371599207534,1712.154364704969,2776.7100105284417,2810.32619973922
0.9,450,1890.3671534662924,3015.0472104531455,2.882555555555556,1866.9099926803372,1913.8243142522476,2993.340656738539,3036.753764167752
0.9,500,2071.5256391040243,3207.0601935063814,2.7622222222222224,2052.5492140708243,2090.5020641372244,3190.673480817613,3223.44690619515
1.0,50,1.2629208377661092,2.3856650305437186,1.0102000000000002,1.2430855085563512,1.2827561669758671,2.31028677439582,2.461043286691617
1.0,100,1.843363407658804,3.9696406193797613,2.0003111111111114,1.8096900926046622,1.8770367227129456,3.8564727979684004,4.082808440791122
1.0,150,36.21204480898478,64.83782494108314,2.965133333333333,24.00073448052195,48.42335513744761,46.53896431652633,83.13668556563995
1.0,200,722.2548221385525,1209.818113136626,2.8727555555555555,694.7949664577446,749.7146778193604,1175.058455080632,1244.5777711926198
1.0,250,1191.0183843027955,1938.916178381499,2.7557111111111112,1170.5663622771563,1211.4704063284348,1913.8844531953043,1963.9479035676939
1.0,300,1505.8585173091064,2405.6865567282503,2.659955555555556,1491.0965789985357,1520.6204556196772,2383.9186105964545,2427.454502860046
1.0,350,1751.5472776186784,2737.049280722046,2.5662666666666665,1737.8467517276988,1765.247803509658,2721.3927305437005,2752.705830900392
1.0,400,1970.4953249792597,3000.9068609261362,2.453511111111111,1957.7729572364547,1983.2176927220648,2986.7472398341806,3015.066482018092
1.0,450,2164.395023775362,3219.5985561592706,2.332088888888889,2152.739489632585,2176.050557918139,3210.065009673074,3229.132102645467
1.0,500,2343.9461730690755,3383.8266266086966,2.2044444444444444,2330.6223168738375,2357.2700292643135,3374.0327686338396,3393.6204845835537
